"V1" "V2"
"145" -14.5 -0.75
"146" -13.51 -0.39
"147" -13.8 -0.49
"148" -10.15 -1.66
"149" -18.4 -0.31
"150" -16.87 3.41
"151" -16.67 0.15
"152" -14.13 -0.04
"153" -14.09 -0.97
"154" -13.3 -0.77
"155" -12.06 -0.5
"156" -14.05 -0.81
"157" -14.94 -0.05
"158" -13.49 -1.1
"159" -12.74 -0.85
"160" -18.24 -0.06
"161" -14.11 -0.7
"162" -14.12 -0.04
"163" -15.52 0.42
"164" -15.56 -0.31
"165" -10.77 0.19
"166" -19.75 1.74
"167" -18.92 1.43
"168" -17.18 0.97
"169" -12.35 -1.56
"170" -13.2 -0.72
"171" -10.52 -0.66
"172" -13.59 -1.79
"173" -14.25 -0.51
"174" -14.74 -1.4
"175" -15.18 0.01
"176" -12.72 -0.99
"177" -13.61 -1.6
"178" -13.15 -0.71
"179" -16.15 0.93
"180" -16.2 -0.13
"181" -21.46 1.72
"182" -14.86 -0.06
"183" -12.01 -0.86
"184" -15.2 -0.4
"185" -15.39 -0.26
"186" -14.53 -0.5
"187" -13.93 -0.79
"188" -9.94 -0.55
"189" -12.55 -1.37
"190" -13.32 -0.24
"191" -13.59 0.05
"192" -16.63 -0.12
"193" -12.7 -0.9
"194" -18.32 -0.16
"195" -17.84 1.4
"196" -14.63 0.37
"197" -13.11 -0.89
"198" -13.33 -0.88
"199" -19.69 -0.11
"200" -13.25 -0.48
"201" -13.61 1.16
"202" -14.63 -1.05
"203" -12.91 -0.12
"204" -13.59 2.08
"205" -14.9 -0.4
"206" -14.23 0.1
"207" -17.96 1
"208" -15.68 0.24
"209" -18.43 -0.15
"210" -15.77 0.58
"211" -12.36 -1.03
"212" -12.06 -0.42
"213" -13.65 -1.25
"214" -14.08 -0.85
"215" -12.43 -0.72
"216" -14.12 -0.61
"217" -11.95 0.29
"218" -10.78 0.25
"219" -16.23 -0.04
"220" -15.85 -0.65
"221" -12.41 -0.58
"222" -14.61 0.18
"223" -15.44 0
"224" -13.18 -0.9
"225" -11.17 -0.69
"226" -19.22 0.81
"227" -13.55 -0.36
"228" -15.64 -0.37
"229" -11.48 -1.18
"230" -9.45 -0.91
"231" -19.45 1.84
"232" -16.51 -0.41
"233" -12.01 -1.3
"234" -15.62 0.93
"235" -16.89 -0.1
"236" -16 1.2
"237" -12.39 -0.87
"238" -18.12 -0.33
"239" -12.29 -0.22
"240" -17.01 0.03
"241" -13.48 -0.92
"242" -14.93 -0.25
"243" -17.92 1.72
"244" -17.05 0.55
"245" -14.53 -0.23
"246" -12.32 -0.92
"247" -14.03 0.4
"248" -14.44 -0.43
"249" -12.2 -0.76
"250" -20.47 1.87
"251" -15.22 -0.41
"252" -16.04 -0.43
"253" -14.53 -0.25
"254" -16.57 -0.18
"255" -18.28 -0.02
"256" -12.95 -0.69
"257" -16.32 -0.13
"258" -15.68 0.22
"259" -12.93 -0.83
"260" -13.42 -1.15
"261" -14.57 -0.13
"262" -17.16 0.42
"263" -13.95 0.45
"264" -17 -0.16
"265" -14.01 -1.43
"266" -15.83 -0.37
"267" -13.42 -1.22
"268" -12.73 -0.97
"269" -19.2 0.95
"270" -10.92 -0.67
"271" -12.44 -0.79
"272" -21.13 1.97
"273" -16.49 0.23
"274" -20.26 2.03
"275" -13.57 -1.47
"276" -12.85 -1.04
"277" -17.42 -0.49
"278" -13.3 -0.97
"279" -12.66 -0.92
"280" -14.2 -1.58
"281" -13.83 -0.42
"282" -14.62 0.21
"283" -9.13 -0.68
"284" -12.14 -1.1
"285" -18.03 0.76
"286" -13.68 -0.57
"287" -16.2 -0.11
"288" -16.28 0.05
"289" -12.7 -0.76
"290" -10.88 -0.98
"291" -16.78 0.04
"292" -14.16 -0.3
"293" -16.59 0.03
"294" -15.78 -0.26
"295" -15.82 0.29
"296" -19.01 1.6
"297" -11.41 -1.84
"298" -14.96 0.25
"299" -17.53 0.12
"300" -15.68 -0.62
"301" -14.53 -0.86
"302" -12.53 -0.74
"303" -15.69 -0.75
"304" -12.6 -1.22
"305" -12.06 -0.47
"306" -13.15 -0.23
"307" -16.04 -0.1
"308" -18.8 1.93
"309" -14.09 -0.23
"310" -18.22 0.14
"311" -9.6 -0.61
"312" -12.34 -0.71
"313" -15.62 0.09
"314" -15.94 0.35
"315" -11.89 -1.23
"316" -12.59 -0.45
"317" -15.12 -0.42
"318" -13.5 -0.2
"319" -16.03 -0.17
"320" -14.48 -0.04
"321" -16.18 -0.84
"322" -18.59 1.62
"323" -12.53 -0.85
"324" -14.56 2.01
"325" -13.7 -0.34
"326" -12.69 -0.82
"327" -13.37 -0.38
"328" -13.07 -0.28
"329" -12.54 -0.74
"330" -18.81 0.37
"331" -12.52 -0.32
"332" -16.89 0.15
"333" -14.59 -0.47
"334" -16.03 -0.46
"335" -13.03 -0.84
"336" -15.31 0.12
"337" -13.23 -1.16
"338" -14.23 0.63
"339" -12.45 0.69
"340" -15.4 0.09
"341" -15.98 -0.24
"342" -15.73 0.57
"343" -14.1 1.38
"344" -15.12 -0.64
"345" -14.13 -0.37
"346" -13.61 -0.82
"347" -12.81 -0.64
"348" -14.29 -0.48
"349" -13.35 -0.57
"350" -13.86 0.33
"351" -13.29 -0.14
"352" -15.74 -0.9
"353" -13.55 -0.71
"354" -13.67 -1.15
"355" -12.83 -0.76
"356" -13.22 -0.44
"357" -15.85 -0.29
"358" -14 -0.22
"359" -16.5 -0.34
"360" -13.59 -0.92
"361" -7.58 -0.92
"362" -15.04 -0.23
"363" -12.96 0.17
"364" -15.68 -0.14
"365" -16.75 -0.32
"366" -15.86 -0.17
"367" -13.18 -0.23
"368" -10.39 -1
"369" -14.28 -0.35
"370" -13.8 -1.31
"371" -11.94 -1.76
"372" -20.42 1.55
"373" -17.76 -0.52
"374" -13.46 -1.31
"375" -13.2 0.21
"376" -20.64 1.97
"377" -13.22 -0.77
"378" -15.26 -0.18
"379" -15.23 -0.64
"380" -13.13 -0.86
"381" -11.55 -0.34
"382" -19.7 0.91
"383" -14.98 -0.46
"384" -12.95 -1.29
"385" -19.06 0.87
"386" -13.98 0.16
"387" -12.64 -0.4
"388" -14.52 0.17
"389" -16.91 -0.03
"390" -12.61 0.19
"391" -14.33 -1.11
"392" -13.55 -1.41
"393" -17.44 -0.21
"394" -14.22 -1.31
"395" -15.16 -0.5
"396" -15.68 -0.43
"397" -14.61 0.52
"398" -10.39 -0.99
"399" -15.81 -0.06
"400" -13.41 -0.86
"401" -16.26 -0.15
"402" -13.49 -1.26
"403" -12.54 -0.14
"404" -14.68 -0.39
"405" -14.83 0.03
"406" -16.08 0.25
"407" -19.08 0.76
"408" -13.9 -0.26
"409" -14.89 -0.19
"410" -14.7 -0.44
"411" -15.11 -0.17
"412" -12.2 0.43
"413" -17.12 0.29
"414" -13.82 1.99
"415" -12.89 -0.38
"416" -13.6 -1.03
"417" -14.58 -0.36
"418" -18.05 -0.03
"419" -15.15 -0.94
"420" -14.1 -0.29
"421" -13.38 -1.01
"422" -12.07 -0.5
"423" -14.45 -0.02
"424" -11.84 -0.64
"425" -15.54 -0.07
"426" -10.75 -0.26
"427" -12.26 0.13
"428" -12.45 1.14
"429" -16.12 -0.04
"430" -15.33 0.54
"431" -16.13 0.29
"432" -18.09 1.15
"433" -14.46 -0.49
"434" -13.16 -1.12
"435" -12.3 0.4
"436" -17.49 -0.2
"437" -13.7 -0.93
"438" -12.11 -1.23
"439" -14.4 -0.2
"440" -15.18 0.58
"441" -12.33 -1.53
"442" -16.53 0.49
"443" -13.24 -1.14
"444" -15.27 -0.43
"445" -16.02 -0.4
"446" -12.8 -1.23
"447" -11.44 -0.87
"448" -15.88 -0.28
"449" -13.73 -1.03
"450" -14.13 -0.94
"451" -19.41 0.44
"452" -13 -1.22
"453" -14.39 -1.22
"454" -17.34 -0.47
"455" -11.3 -0.45
"456" -16.31 -0.39
"457" -12.73 -2.07
"458" -16.27 -0.36
"459" -13.62 -0.67
"460" -16.73 -0.08
"461" -13.8 0.2
"462" -12.46 -1.56
"463" -13.7 0.7
"464" -14.22 0.63
"465" -16.93 0.18
"466" -13.8 -0.85
"467" -12.06 -2.73
"468" -14.82 -0.41
"469" -15.24 0.02
"470" -15.6 0.54
"471" -10.23 -3.33
"472" -12.47 -1.05
"473" -16.1 -0.24
"474" -16.47 -0.23
"475" -11.57 -0.91
"476" -16.47 0.22
"477" -13.1 -0.74
"478" -15.64 -0.77
"479" -13.52 -0.2
"480" -15.14 -0.42
"481" -15.41 -0.34
"482" -14 -0.9
"483" -16.85 -0.04
"484" -16.74 -0.19
"485" -10.6 -0.08
"486" -15.22 -0.37
"487" -11.52 -1.79
"488" -11.38 -0.98
"489" -16.54 -0.28
"490" -13.64 0.27
"491" -12.92 0.01
"492" -13.08 -0.13
"493" -12.38 -2.03
"494" -14.16 -0.39
"495" -13.18 -0.28
"496" -13.52 0.47
"497" -12.61 -1.58
"498" -19.61 0.79
"499" -10.63 -0.06
"500" -15.41 -0.23
"501" -17.25 0.08
"502" -13.89 -0.24
"503" -14.57 0.01
"504" -17.39 0.47
"505" -11.85 -0.54
"506" -18.85 0.27
"507" -13.17 -1.42
"508" -12.06 -0.45
"509" -13.64 -1.1
"510" -13.34 -0.09
"511" -12.43 -1.01
"512" -17.97 -0.24
"513" -14.01 -0.94
"514" -11.7 -0.11
"515" -11.59 -1.45
"516" -16.27 -0.19
"517" -14.82 -0.89
"518" -15.01 -0.71
"519" -13.36 -0.9
"520" -10.35 -0.96
"521" -14.22 0.9
"522" -13.74 -1.03
"523" -17.17 -0.15
"524" -15.31 -0.92
"525" -12.65 -0.89
"526" -18.22 -0.23
"527" -15.51 -0.18
"528" -12.9 -0.3
"529" -12.81 0.13
"530" -12.21 -0.74
"531" -11.78 -0.91
"532" -12.45 -1.14
"533" -15 -0.18
"534" -13.32 -0.69
"535" -15.61 0.12
"536" -15.01 -0.59
"537" -14.88 -0.78
"538" -15.94 -0.09
"539" -15.47 0.6
"540" -14.47 -0.11
"541" -14.68 -1.13
"542" -13.74 -0.74
"543" -10.36 -0.54
"544" -14.25 -0.19
"545" -16.73 -0.66
"546" -15.05 0
"547" -10.35 -0.08
"548" -12.81 -0.52
"549" -17.14 -0.47
"550" -13.79 -0.94
"551" -11.22 -1.33
"552" -14.82 -1.36
"553" -12.68 -0.45
"554" -15.79 -0.2
"555" -13.09 -0.98
"556" -14.79 -0.76
"557" -14.87 -0.5
"558" -12.34 0.21
"559" -18.97 0.17
"560" -19.58 0.59
"561" -16.04 0.14
"562" -13.75 -0.3
"563" -13.96 -1.06
"564" -12.7 -0.52
"565" -16.6 0.12
"566" -15.15 -0.22
"567" -12.52 -0.57
"568" -17.73 -0.02
"569" -14.02 -0.85
"570" -13 -0.87
"571" -10.36 0.28
"572" -15.22 -0.98
